question,reference_context
ใน Cyber นักศึกษาชั้นปีที่ 1 ภาคเรียนที่ 1 ต้องลงทะเบียนรายวิชาใด,"ปีที่ 1 ภาคการศึกษาที่ 1
 
 หน่วยกิต
 
 
 
 LI 101 001 ภาษาอังกฤษ 1
 
 3(3-0-6)
 
 
 
 English I
 
 
 
 GE 151 144 พหุวัฒนธรรม
 
 3(3-0-6)
 
 
 
 Multiculturalism
 
 
 
 GE 341 511 การคิดเชิงค านวณและเชิงสถิติส าหรับเอบีซีดี
 
 3(3-0-6)
 
 
 
 Computational & Statistical Thinking for ABCD
 
 
 
 SC 602 005 ความน่าจะเป็นและสถิติ
 
 3(3-0-6)
 
 
 
 Probability and Statistics
 
 
 
 SC 401 201 แคลคูลัสส าหรับวิทยาศาสตร์กายภาพ 1
 
 3(3-0-6)
 
 
 
 Calculus for Physical Science I
 
 
 
 CP 421 021 การเขียนโปรแกรมเชิงโครงสร้าง
 
 3(2-2-5)
 
 
 
 Structured Programming
 
 
 
 CP 421 011 ความบันดาลใจในวิชาชีพความมั่นคงปลอดภัยไซเบอร์
 
 1(0-2-1)
 
 
 
 Inspiration in Cybersecurity Career
 
 
 
 CP 422 001 กฏหมายและจริยธรรมด้านความมั่นคงปลอดภัยไซเบอร์
 
 3(3-0-6)
 
 
 
 Cybersecurity Law and Ethic
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 22
 
 หน่วยกิต"
ใน Cyber ตอนปี 1 เทอม 2 เราต้องลงอะไรบ้างอะ,"ปีที่ 1 ภาคการศึกษาที่ 2
 หน่วยกิต
 
 LI 101 002 ภาษาอังกฤษ 2
 3(3-0-6)
 
 English II
 
 SC 002 104 วิทยาศาสตร์กายภาพ
 3(3-0-6)
 
 Physical Science
 
 SC 402 401 วิยุตคณิตและการประยุกต์
 3(3-0-6)
 
 Discrete Mathematics and Applications
 
 CP 421 022 องค์ประกอบและสถาปัตยกรรมคอมพิวเตอร์ขั้นแนะน า
 3(2-2-5)
 
 Introduction to Computer Organization and Architecture
 
 CP 421 023 ขั้นตอนวิธีและโครงสร้างข้อมูล
 3(2-2-5)
 
 Algorithms and Data Structures
 
 CP 421 024 การเขียนโปรแกรมเชิงวัตถุ
 3(2-2-5)
 
 Object Oriented Programming
 
 CP 001 001 เอบีซีดีส าหรับทุกวิชาชีพ
 3(3-0-6)
 
 ABCD for All Professions
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 21
 หน่วยกิต"
ใน Cyber ขอแผนการเรียนปี 2 เทอม 1 หน่อยครับ,"ปีที่ 2 ภาคการศึกษาที่ 1
 หน่วยกิต
 
 LI 102 003 ภาษาอังกฤษ 3
 3(3-0-6)
 
 English III
 
 GE 363 789 ผู้ประกอบการสร้างสรรค์
 3(3-0-6)
 
 Creative Entrepreneurs
 
 CP 422 052 ระบบปฏิบัติการขั้นแนะน า
 3(2-2-5)
 
 Introduction to Operating Systems
 
 CP 422 021 สถาปัตยกรรมเว็บและโมบายแอปพลิเคชัน
 3(2-2-5)
 
 Web and Mobile Application Architecture
 
 CP 422 022 การวิเคราะห์และออกแบบสถาปัตยกรรมฐานข้อมูล
 3(2-2-5)
 
 Database Architecture Analysis and Design
 
 CP 421 025 การวิเคราะห์และออกแบบซอฟต์แวร์
 3(2-2-5)
 
 Software Design and Analysis
 
 CP 422 011 เครือข่ายคอมพิวเตอร์ขั้นแนะน า
 3(2-2-5)
 
 Introduction to Computer Networking
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 21
 หน่วยกิต"
ใน Cyber ภาคเรียนที่ 2 ของปี 2 ต้องเรียนวิชาอะไรบ้าง,"ปีที่ 2 ภาคการศึกษาที่ 2
 หน่วยกิต
 
 LI 102 004 ภาษาอังกฤษ 4
 3(3-0-6)
 
 English IV
 
 CP 422 031 ความมั่นคงปลอดภัยไซเบอร์ขั้นแนะน า
 3(2-2-5)
 
 Introduction to Cybersecurity
 
 CP 422 013 พื้นฐานวิศวกรรมระบบคอมพิวเตอร์
 3(2-2-5)
 
 Fundamental of Computer System Engineer
 
 CP 422 641 ปัญญาประดิษฐ์ในการรักษาความมั่นคงปลอดภัยไซเบอร์
 3(2-2-5)
 
 Artificial Intelligence in Cybersecurity
 
 CP 422 032 การประมวลผลบนกลุ่มเมฆและการประยุกต์
 3(2-2-5)
 
 Cloud Computing and Application
 
 CP 422 012 เครือข่ายไร้สายและเคลื่อนที่กับอินเทอร์เน็ตของทุกสิ่งขั้นแนะน า
 3(2-2-5)
 
 Introduction to Wireless and Mobile Networks with Internet of
 Things
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 18 หน่วยกิต"
ใน Cyber ขอแผนการ ปี 3 เทอม 1 ทุกแบบหน่อย,"แบบเลือกเรียนวิชาโครงงาน (1)
 
 ปีที่ 3 ภาคการศึกษาที่ 1
 
 หน่วยกิต
 
 CP 423 XXX วิชาเลือก หรือ ชุดวิชา
 
 21 หน่วยกิต
 
 Elective Course or Module Course
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 21
 
 หน่วยกิต
 
 =============================================================================
 
 แบบเลือกเรียนวิชาสหกิจศึกษา (2)
 
 ปีที่ 3 ภาคการศึกษาที่ 1
 
 หน่วยกิต
 
 CP 423 XXX วิชาเลือก หรือ ชุดวิชา
 
 21 หน่วยกิต
 
 Elective Course or Module Course
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 21
 
 หน่วยกิต
 
 =============================================================================
 
 แบบเลือกเรียนชุดวิชาการบูรณาการการเรียนรู้กับการท างาน (WIL) (3)
 
 ปีที่ 3 ภาคการศึกษาที่ 1
 
 หน่วยกิต
 
 CP 423 XXX วิชาเลือก หรือ ชุดวิชา
 
 15 หน่วยกิต
 
 Elective Course or Module Course
 
 
 
 CP 002 001 การเตรียมความพร้อมก่อนปฏิบัติงานส าหรับนักศึกษาวิทยาลัยการ
 
 คอมพิวเตอร์
 
 1(0-2-1)
 
 (ไม่นับหน่วยกิต)
 
 Orientation to Co-Operative Education for Computing Students
 
 
 
 XXX XXX วิชาเลือกเสรี
 
 6 หน่วยกิต
 
 Free Elective
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 21
 
 หน่วยกิต"
ใน Cyber ภาคเรียนที่ 2 ของปี 3 เรียนวิชาอะไรบ้างครับ,"แบบเลือกเรียนวิชาโครงงาน (1)
 
 ปีที่ 3 ภาคการศึกษาที่ 2
 
 หน่วยกิต
 
 CP 423 151 มาตรฐานวิชาชีพขั้นพื้นฐานด้านวิทยาการค านวณ
 
 1(1-0-2)
 
 Computing Career Professional Standards
 
 
 
 CP 423 131 มาตรฐานวิชาชีพขั้นพื้นฐานด้านความมั่นคงปลอดภัยไซเบอร์
 
 2(2-0-4)
 
 Cybersecurity Career Professional Standards
 
 
 
 CP 423 132 มาตรฐานวิชาชีพชั้นสูงด้านความมั่นคงปลอดภัยไซเบอร์
 
 3(3-0-6)
 
 Advance Cybersecurity Career Professional Standards
 
 
 
 *รายวิชา CP 423 151, CP 423 131, CP 423 132 หลักสูตรจะจัดท าการเรียนการสอนในยุคใหม่แบบ On-
 
 Demand Self Paced Learning
 
 CP 423 741 ระเบียบวิธีวิจัยและสัมมนาเชิงปฏิบัติการด้านความมั่นคงปลอดภัยไซเบอร์
 
 3(3-0-6)
 
 Cybersecurity Research Methodology, Workshop and Seminar
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 9
 
 หน่วยกิต
 
 
 
 =============================================================================
 
 แบบเลือกเรียนวิชาสหกิจศึกษา (2)
 
 ปีที่ 3 ภาคการศึกษาที่ 2
 
 หน่วยกิต
 
 CP 423 151 มาตรฐานวิชาชีพขั้นพื้นฐานด้านวิทยาการค านวณ
 
 1(1-0-2)
 
 Computing Career Professional Standards
 
 
 
 CP 423 131 มาตรฐานวิชาชีพขั้นพื้นฐานด้านความมั่นคงปลอดภัยไซเบอร์
 
 2(2-0-4)
 
 Cybersecurity Career Professional Standards
 
 
 
 CP 423 132 มาตรฐานวิชาชีพชั้นสูงด้านความมั่นคงปลอดภัยไซเบอร์
 
 3(3-0-6)
 
 Advance Cybersecurity Career Professional Standards
 
 
 
 *รายวิชา CP 423 151, CP 423 131, CP 423 132 หลักสูตรจะจัดท าการเรียนการสอนในยุคใหม่แบบ On-
 
 Demand Self Paced Learning
 
 CP 423 741 ระเบียบวิธีวิจัยและสัมมนาเชิงปฏิบัติการด้านความมั่นคงปลอดภัยไซเบอร์
 
 3(3-0-6)
 
 Cybersecurity Research Methodology, Workshop and Seminar
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 9
 
 หน่วยกิต
 
 =============================================================================
 
 แบบเลือกเรียนชุดวิชาการบูรณาการการเรียนรู้กับการท างาน (WIL) (3)
 
 ปีที่ 3 ภาคการศึกษาที่ 2
 
 หน่วยกิต
 
 CP 423 151 มาตรฐานวิชาชีพขั้นพื้นฐานด้านวิทยาการค านวณ
 
 1(1-0-2)
 
 Computing Career Professional Standards
 
 
 
 CP 423 131 มาตรฐานวิชาชีพขั้นพื้นฐานด้านความมั่นคงปลอดภัยไซเบอร์
 
 2(2-0-4)
 
 Cybersecurity Career Professional Standards
 
 
 
 CP 423 132 มาตรฐานวิชาชีพชั้นสูงด้านความมั่นคงปลอดภัยไซเบอร์
 
 3(3-0-6)
 
 Advance Cybersecurity Career Professional Standards
 
 
 
 *รายวิชา CP 423 151, CP 423 131, CP 423 132 หลักสูตรจะจัดท าการเรียนการสอนในยุคใหม่แบบ On-
 
 Demand Self Paced Learning
 
 CP 423 401 การบูรณาการการเรียนรู้กับการท างานด้านความมั่นคงปลอดภัยไซเบอร์ 1
 
 3(0-6-3)
 
 Work-Integrated Learning in Cybersecurity I
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 9
 
 หน่วยกิต"
ใน Cyber ตอนปี 4 เทอม 1 ในแต่ละแบบต้องเรียนอะไรบ้าง,"แบบเลือกเรียนวิชาโครงงาน (1)
 ปีที่ 4 ภาคการศึกษาที่ 1
 หน่วยกิต
 CP 424 731 โครงงานทางความมั่นคงปลอดภัยไซเบอร์ 1
 3(0-9-6)
 
 Cybersecurity Project I
 
 XXX XXX วิชาเลือกเสรี
 6 หน่วยกิต
 Free Elective
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 9
 หน่วยกิต
 =============================================================================
 แบบเลือกเรียนวิชาสหกิจศึกษา (2)
 ปีที่ 4 ภาคการศึกษาที่ 1
 หน่วยกิต
 CP 002 001 การเตรียมความพร้อมก่อนปฏิบัติงานส าหรับนักศึกษาวิทยาลัยการ
 คอมพิวเตอร์
 1(0-2-1)
 (ไม่นับหน่วยกิต)
 Orientation to Co-Operative Education for Computing Students
 
 XXX XXX วิชาเลือกเสรี
 6 หน่วยกิต
 Free Elective
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 6
 หน่วยกิต
 =============================================================================
 แบบเลือกเรียนชุดวิชาการบูรณาการการเรียนรู้กับการท างาน (WIL) (3)
 ปีที่ 4 ภาคการศึกษาที่ 1
 หน่วยกิต
 CP 423 402 การบูรณาการการเรียนรู้กับการท างานด้านความมั่นคงปลอดภัยไซเบอร์ 2
 6(0-12-6)
 Work-Integrated Learning in Cybersecurity II
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 6
 หน่วยกิต"
ใน Cyber ปี 4 เทอม 2 ในแต่ละแบบเรียนวิชาอะไรบ้างอะ,"แบบเลือกเรียนวิชาโครงงาน (1)
 
 ปีที่ 4 ภาคการศึกษาที่ 2
 
 หน่วยกิต
 
 CP 424 732 โครงงานทางความมั่นคงปลอดภัยไซเบอร์ 2
 
 3(0-9-6)
 
 Cybersecurity Project II
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 3
 
 หน่วยกิต
 
 =============================================================================
 
 แบบเลือกเรียนวิชาสหกิจศึกษา (2)
 
 ปีที่ 4 ภาคการศึกษาที่ 2
 
 หน่วยกิต
 
 CP 424 785 สหกิจศึกษาทางความมั่นคงปลอดภัยไซเบอร์
 
 6 หน่วยกิต
 
 Co-Operative Education in Cybersecurity
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 6
 
 หน่วยกิต
 
 =============================================================================
 
 แบบเลือกเรียนชุดวิชาการบูรณาการการเรียนรู้กับการท างาน (WIL) (3)
 
 ปีที่ 4 ภาคการศึกษาที่ 2
 
 หน่วยกิต
 
 CP 423 403 การบูรณาการการเรียนรู้กับการท างานด้านความมั่นคงปลอดภัยไซเบอร์ 3
 
 6(0-12-6)
 
 
 
 Work-Integrated Learning in Cybersecurity III
 
 
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 6
 
 หน่วยกิต"
ใน Cyber เราจะได้ลงวิชาเรียนวิชา Cloud Computing and Application ตอนไหน,"ปีที่ 2 ภาคการศึกษาที่ 2
 หน่วยกิต
 
 LI 102 004 ภาษาอังกฤษ 4
 3(3-0-6)
 
 English IV
 
 CP 422 031 ความมั่นคงปลอดภัยไซเบอร์ขั้นแนะน า
 3(2-2-5)
 
 Introduction to Cybersecurity
 
 CP 422 013 พื้นฐานวิศวกรรมระบบคอมพิวเตอร์
 3(2-2-5)
 
 Fundamental of Computer System Engineer
 
 CP 422 641 ปัญญาประดิษฐ์ในการรักษาความมั่นคงปลอดภัยไซเบอร์
 3(2-2-5)
 
 Artificial Intelligence in Cybersecurity
 
 CP 422 032 การประมวลผลบนกลุ่มเมฆและการประยุกต์
 3(2-2-5)
 
 Cloud Computing and Application
 
 CP 422 012 เครือข่ายไร้สายและเคลื่อนที่กับอินเทอร์เน็ตของทุกสิ่งขั้นแนะน า
 3(2-2-5)
 
 Introduction to Wireless and Mobile Networks with Internet of
 Things
 
 รวมจ านวนหน่วยกิตลงทะเบียนเรียน 18 หน่วยกิต"
ใน Cyber วิชา GE 341 511 Computational & Statistical Thinking for ABCD คือวิชาอะไร,"GE 341 511 การคิดเชิงค านวณและเชิงสถิติส าหรับเอบีซีดี
 
 3(3-0-6)
 
 Computational & Statistical Thinking for ABCD
 
 เงื่อนไขของรายวิชา : ไม่มี
 
 
 
 แนวคิดเกี่ยวกับการคิดเชิงค านวณและเชิงสถิติส าหรับการแก้ปัญหา การวิเคราะห์สถานการณ์ปัญหา
 
 หลักการสร้างขั้นตอนวิธีและโมเดล เทคโนโลยีดิจิทัลและเครื่องมือในการแก้ปัญหา การเขียนโปรแกรมและ
 
 กระบวนการแก้ปัญหา การประเมินผลและปรับปรุงกระบวนการแก้ปัญหา จริยธรรมทางวิชาการ การเขียนใน
 
 เชิงวิชาการ การน าเสนอ
 
 Concepts of computational and statistical thinking for problem solving, analyzing the
 
 problem situations, producing algorithms and models, digital technology and tools for
 
 problem solving, programming and problem solving process, assessment and improvement
 
 of problem solving process, academic ethics, academic writing, presentation and critique"
